Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345063.09303946">wfid_1562345063.09303946</a>,375,O2Si,<a href="https://materialsproject.org/materials/mp-972808/">mp-972808</a>,<a href="https://materialsproject.org/materials/mp-559091/">mp-559091</a>,4,182,0.4,-0.010,1.296,5.591
<a href="candidate.html?wfid=wfid_1562345063.29510504">wfid_1562345063.29510504</a>,107,C2HgN2S2,<a href="https://materialsproject.org/materials/mp-610992/">mp-610992</a>,<a href="https://materialsproject.org/materials/mp-655275/">mp-655275</a>,5,12,0.9,-0.002,0.060,2.136
<a href="candidate.html?wfid=wfid_1562345063.38077530">wfid_1562345063.38077530</a>,374,O2Si,<a href="https://materialsproject.org/materials/mp-555891/">mp-555891</a>,<a href="https://materialsproject.org/materials/mp-559091/">mp-559091</a>,4,182,0.0,-0.003,0.846,5.389
<a href="candidate.html?wfid=wfid_1562345063.80485743">wfid_1562345063.80485743</a>,72,BaO5Ti2,<a href="https://materialsproject.org/materials/mp-555966/">mp-555966</a>,<a href="https://materialsproject.org/materials/mp-3943/">mp-3943</a>,5,12,15.3,0.003,0.169,2.207
<a href="candidate.html?wfid=wfid_1562345064.01802743">wfid_1562345064.01802743</a>,17,AgC2O2,<a href="https://materialsproject.org/materials/mp-600237/">mp-600237</a>,<a href="https://materialsproject.org/materials/mp-654937/">mp-654937</a>,5,15,0.0,-0.001,0.142,0.992
<a href="candidate.html?wfid=wfid_1562345064.51602404">wfid_1562345064.51602404</a>,252,GaN5O14,<a href="https://materialsproject.org/materials/mp-541950/">mp-541950</a>,<a href="https://materialsproject.org/materials/mp-557954/">mp-557954</a>,5,82,0.0,0.002,0.642,1.266
<a href="candidate.html?wfid=wfid_1562345064.64947472">wfid_1562345064.64947472</a>,118,CLi4O4,<a href="https://materialsproject.org/materials/mp-550320/">mp-550320</a>,<a href="https://materialsproject.org/materials/mp-551848/">mp-551848</a>,5,121,49.0,0.058,0.798,5.050
<a href="candidate.html?wfid=wfid_1562345064.72820430">wfid_1562345064.72820430</a>,113,CK4O4,<a href="https://materialsproject.org/materials/mp-551561/">mp-551561</a>,<a href="https://materialsproject.org/materials/mp-549869/">mp-549869</a>,5,121,16.7,0.006,0.608,1.997
<a href="candidate.html?wfid=wfid_1562345064.95566356">wfid_1562345064.95566356</a>,123,CNa4O4,<a href="https://materialsproject.org/materials/mp-13274/">mp-13274</a>,<a href="https://materialsproject.org/materials/mp-546551/">mp-546551</a>,5,121,39.2,0.026,0.999,2.183
<a href="candidate.html?wfid=wfid_1562345065.02973794">wfid_1562345065.02973794</a>,129,CO4Rb4,<a href="https://materialsproject.org/materials/mp-551176/">mp-551176</a>,<a href="https://materialsproject.org/materials/mp-545760/">mp-545760</a>,5,121,14.6,0.003,0.568,1.406
<a href="candidate.html?wfid=wfid_1562345065.11062718">wfid_1562345065.11062718</a>,280,H3O3Pr,<a href="https://materialsproject.org/materials/mp-625452/">mp-625452</a>,<a href="https://materialsproject.org/materials/mp-626361/">mp-626361</a>,6,11,0.1,0.002,0.140,3.760
<a href="candidate.html?wfid=wfid_1562345065.17991627">wfid_1562345065.17991627</a>,281,H3O3Pr,<a href="https://materialsproject.org/materials/mp-625452/">mp-625452</a>,<a href="https://materialsproject.org/materials/mp-625447/">mp-625447</a>,6,176,0.1,-0.000,0.102,3.760
<a href="candidate.html?wfid=wfid_1562345065.45762179">wfid_1562345065.45762179</a>,286,H4O5S,<a href="https://materialsproject.org/materials/mp-626448/">mp-626448</a>,<a href="https://materialsproject.org/materials/mp-626109/">mp-626109</a>,7,14,1.0,-0.000,0.195,5.650
<a href="candidate.html?wfid=wfid_1562345065.65066324">wfid_1562345065.65066324</a>,289,H5IO6,<a href="https://materialsproject.org/materials/mp-625256/">mp-625256</a>,<a href="https://materialsproject.org/materials/mp-27773/">mp-27773</a>,7,14,0.3,-0.001,0.268,2.326
<a href="candidate.html?wfid=wfid_1562345065.88747031">wfid_1562345065.88747031</a>,283,H3O4P,<a href="https://materialsproject.org/materials/mp-626450/">mp-626450</a>,<a href="https://materialsproject.org/materials/mp-23902/">mp-23902</a>,7,14,4.1,-0.013,0.869,5.666
<a href="candidate.html?wfid=wfid_1562345066.26534577">wfid_1562345066.26534577</a>,284,H3O4P,<a href="https://materialsproject.org/materials/mp-626450/">mp-626450</a>,<a href="https://materialsproject.org/materials/mp-626449/">mp-626449</a>,7,14,4.1,-0.003,0.391,5.666
<a href="candidate.html?wfid=wfid_1562345066.70855532">wfid_1562345066.70855532</a>,43,AuCl4K,<a href="https://materialsproject.org/materials/mp-27181/">mp-27181</a>,<a href="https://materialsproject.org/materials/mp-568986/">mp-568986</a>,7,14,0.3,0.000,0.059,1.392
<a href="candidate.html?wfid=wfid_1562345066.90756711">wfid_1562345066.90756711</a>,33,AlH3O3,<a href="https://materialsproject.org/materials/mp-626587/">mp-626587</a>,<a href="https://materialsproject.org/materials/mp-626605/">mp-626605</a>,7,61,8.1,0.008,0.628,4.950
<a href="candidate.html?wfid=wfid_1562345067.21007940">wfid_1562345067.21007940</a>,82,Bi4O12Ti3,<a href="https://materialsproject.org/materials/mp-723064/">mp-723064</a>,<a href="https://materialsproject.org/materials/mp-23335/">mp-23335</a>,7,139,58.1,0.062,0.567,2.358
<a href="candidate.html?wfid=wfid_1562345067.39360264">wfid_1562345067.39360264</a>,115,CK4O4,<a href="https://materialsproject.org/materials/mp-605843/">mp-605843</a>,<a href="https://materialsproject.org/materials/mp-549869/">mp-549869</a>,8,121,10.2,0.002,0.288,2.188
<a href="candidate.html?wfid=wfid_1562345067.50179482">wfid_1562345067.50179482</a>,378,O2Si,<a href="https://materialsproject.org/materials/mp-557881/">mp-557881</a>,<a href="https://materialsproject.org/materials/mp-558351/">mp-558351</a>,8,12,0.0,-0.000,0.131,5.526
<a href="candidate.html?wfid=wfid_1562345068.11764927">wfid_1562345068.11764927</a>,144,Cd2ClP3,<a href="https://materialsproject.org/materials/mp-29246/">mp-29246</a>,<a href="https://materialsproject.org/materials/mp-644431/">mp-644431</a>,9,15,0.8,0.000,0.056,1.260
<a href="candidate.html?wfid=wfid_1562345068.26681921">wfid_1562345068.26681921</a>,191,CrO9P3,<a href="https://materialsproject.org/materials/mp-566776/">mp-566776</a>,<a href="https://materialsproject.org/materials/mp-566761/">mp-566761</a>,9,15,0.3,0.001,0.276,3.185
<a href="candidate.html?wfid=wfid_1562345068.66194719">wfid_1562345068.66194719</a>,294,HK2NO6S2,<a href="https://materialsproject.org/materials/mp-695383/">mp-695383</a>,<a href="https://materialsproject.org/materials/mp-706912/">mp-706912</a>,9,15,3.2,0.006,0.594,5.279
<a href="candidate.html?wfid=wfid_1562345068.84228879">wfid_1562345068.84228879</a>,273,H2O4S,<a href="https://materialsproject.org/materials/mp-625445/">mp-625445</a>,<a href="https://materialsproject.org/materials/mp-690733/">mp-690733</a>,9,15,51.0,-0.034,1.042,5.800
<a href="candidate.html?wfid=wfid_1562345068.96362730">wfid_1562345068.96362730</a>,89,BiFeO3,<a href="https://materialsproject.org/materials/mp-24942/">mp-24942</a>,<a href="https://materialsproject.org/materials/mp-561388/">mp-561388</a>,160,221,124.5,0.182,0.688,1.781
<a href="candidate.html?wfid=wfid_1562345069.03136189">wfid_1562345069.03136189</a>,94,BiO3Sc,<a href="https://materialsproject.org/materials/mp-555313/">mp-555313</a>,<a href="https://materialsproject.org/materials/mp-555769/">mp-555769</a>,9,15,5.7,0.000,0.087,2.699
<a href="candidate.html?wfid=wfid_1562345069.20163833">wfid_1562345069.20163833</a>,47,B2O6Zn3,<a href="https://materialsproject.org/materials/mp-559949/">mp-559949</a>,<a href="https://materialsproject.org/materials/mp-542833/">mp-542833</a>,9,15,0.1,-0.000,0.031,2.746
<a href="candidate.html?wfid=wfid_1562345070.54182585">wfid_1562345070.54182585</a>,268,H2O2Sr,<a href="https://materialsproject.org/materials/mp-625184/">mp-625184</a>,<a href="https://materialsproject.org/materials/mp-27425/">mp-27425</a>,26,62,1.2,-0.001,0.180,3.996
