Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345099.25830051">wfid_1562345099.25830051</a>,52,B7IMn3O13,<a href="https://materialsproject.org/materials/mp-31917/">mp-31917</a>,<a href="https://materialsproject.org/materials/mp-565322/">mp-565322</a>,29,219,--,0.005,0.471,3.708
<a href="candidate.html?wfid=wfid_1562345100.48228079">wfid_1562345100.48228079</a>,189,CrO3,<a href="https://materialsproject.org/materials/mvc-13999/">mvc-13999</a>,<a href="https://materialsproject.org/materials/mvc-11097/">mvc-11097</a>,185,194,--,0.413,2.260,1.185
<a href="candidate.html?wfid=wfid_1562345109.06349917">wfid_1562345109.06349917</a>,406,O7RuSm3,<a href="https://materialsproject.org/materials/mp-555525/">mp-555525</a>,<a href="https://materialsproject.org/materials/mp-5779/">mp-5779</a>,33,63,--,0.006,0.564,0.132
<a href="candidate.html?wfid=wfid_1562345109.33811762">wfid_1562345109.33811762</a>,405,O7OsSm3,<a href="https://materialsproject.org/materials/mp-555639/">mp-555639</a>,<a href="https://materialsproject.org/materials/mp-5447/">mp-5447</a>,33,63,--,0.014,0.573,0.245
<a href="candidate.html?wfid=wfid_1562345113.93677372">wfid_1562345113.93677372</a>,291,H5NO2,<a href="https://materialsproject.org/materials/mp-625109/">mp-625109</a>,<a href="https://materialsproject.org/materials/mp-625108/">mp-625108</a>,7,14,--,0.002,0.768,1.704
<a href="candidate.html?wfid=wfid_1562345116.15943930">wfid_1562345116.15943930</a>,180,CoO6Si2,<a href="https://materialsproject.org/materials/mvc-12012/">mvc-12012</a>,<a href="https://materialsproject.org/materials/mvc-11366/">mvc-11366</a>,5,15,--,0.002,0.099,0.452
<a href="candidate.html?wfid=wfid_1562345116.41517559">wfid_1562345116.41517559</a>,231,Fe2O4Zn,<a href="https://materialsproject.org/materials/mvc-12661/">mvc-12661</a>,<a href="https://materialsproject.org/materials/mvc-15076/">mvc-15076</a>,6,62,--,0.000,0.131,1.631
<a href="candidate.html?wfid=wfid_1562345117.00610059">wfid_1562345117.00610059</a>,141,CaFe2O4,<a href="https://materialsproject.org/materials/mvc-12583/">mvc-12583</a>,<a href="https://materialsproject.org/materials/mvc-8188/">mvc-8188</a>,8,12,--,0.027,1.153,1.549
<a href="candidate.html?wfid=wfid_1562345117.37566277">wfid_1562345117.37566277</a>,201,CuF4Li2,<a href="https://materialsproject.org/materials/mp-753171/">mp-753171</a>,<a href="https://materialsproject.org/materials/mp-753123/">mp-753123</a>,7,64,--,0.009,1.474,0.601
<a href="candidate.html?wfid=wfid_1562345118.53916482">wfid_1562345118.53916482</a>,397,O3V2,<a href="https://materialsproject.org/materials/mp-553955/">mp-553955</a>,<a href="https://materialsproject.org/materials/mp-714906/">mp-714906</a>,9,167,--,0.003,0.868,0.974
